id,name,group,material,x_mm,y_mm,z_mm,width_mm,depth_mm,height_mm,status
P001,Leg 11 foot,Legs,WALNUT,20,20,0,30,40,22,"CONCEPT exterior, not cut list"
P002,Leg 11 segment 00,Legs,WALNUT,20,20,22,5,5,554,"CONCEPT exterior, not cut list"
P003,Leg 11 segment 01,Legs,MAPLE,20,25,22,5,30,554,"CONCEPT exterior, not cut list"
P004,Leg 11 segment 02,Legs,WALNUT,20,55,22,5,5,554,"CONCEPT exterior, not cut list"
P005,Leg 11 segment 10,Legs,MAPLE,25,20,22,20,5,554,"CONCEPT exterior, not cut list"
P006,Leg 11 segment 11,Legs,MAPLE,25,25,22,20,30,554,"CONCEPT exterior, not cut list"
P007,Leg 11 segment 12,Legs,MAPLE,25,55,22,20,5,554,"CONCEPT exterior, not cut list"
P008,Leg 11 segment 20,Legs,WALNUT,45,20,22,5,5,554,"CONCEPT exterior, not cut list"
P009,Leg 11 segment 21,Legs,MAPLE,45,25,22,5,30,554,"CONCEPT exterior, not cut list"
P010,Leg 11 segment 22,Legs,WALNUT,45,55,22,5,5,554,"CONCEPT exterior, not cut list"
P011,Leg 12 foot,Legs,WALNUT,20,420,0,30,40,22,"CONCEPT exterior, not cut list"
P012,Leg 12 segment 00,Legs,WALNUT,20,420,22,5,5,554,"CONCEPT exterior, not cut list"
P013,Leg 12 segment 01,Legs,MAPLE,20,425,22,5,30,554,"CONCEPT exterior, not cut list"
P014,Leg 12 segment 02,Legs,WALNUT,20,455,22,5,5,554,"CONCEPT exterior, not cut list"
P015,Leg 12 segment 10,Legs,MAPLE,25,420,22,20,5,554,"CONCEPT exterior, not cut list"
P016,Leg 12 segment 11,Legs,MAPLE,25,425,22,20,30,554,"CONCEPT exterior, not cut list"
P017,Leg 12 segment 12,Legs,MAPLE,25,455,22,20,5,554,"CONCEPT exterior, not cut list"
P018,Leg 12 segment 20,Legs,WALNUT,45,420,22,5,5,554,"CONCEPT exterior, not cut list"
P019,Leg 12 segment 21,Legs,MAPLE,45,425,22,5,30,554,"CONCEPT exterior, not cut list"
P020,Leg 12 segment 22,Legs,WALNUT,45,455,22,5,5,554,"CONCEPT exterior, not cut list"
P021,Leg 21 foot,Legs,WALNUT,550,20,0,30,40,22,"CONCEPT exterior, not cut list"
P022,Leg 21 segment 00,Legs,WALNUT,550,20,22,5,5,554,"CONCEPT exterior, not cut list"
P023,Leg 21 segment 01,Legs,MAPLE,550,25,22,5,30,554,"CONCEPT exterior, not cut list"
P024,Leg 21 segment 02,Legs,WALNUT,550,55,22,5,5,554,"CONCEPT exterior, not cut list"
P025,Leg 21 segment 10,Legs,MAPLE,555,20,22,20,5,554,"CONCEPT exterior, not cut list"
P026,Leg 21 segment 11,Legs,MAPLE,555,25,22,20,30,554,"CONCEPT exterior, not cut list"
P027,Leg 21 segment 12,Legs,MAPLE,555,55,22,20,5,554,"CONCEPT exterior, not cut list"
P028,Leg 21 segment 20,Legs,WALNUT,575,20,22,5,5,554,"CONCEPT exterior, not cut list"
P029,Leg 21 segment 21,Legs,MAPLE,575,25,22,5,30,554,"CONCEPT exterior, not cut list"
P030,Leg 21 segment 22,Legs,WALNUT,575,55,22,5,5,554,"CONCEPT exterior, not cut list"
P031,Leg 22 foot,Legs,WALNUT,550,420,0,30,40,22,"CONCEPT exterior, not cut list"
P032,Leg 22 segment 00,Legs,WALNUT,550,420,22,5,5,554,"CONCEPT exterior, not cut list"
P033,Leg 22 segment 01,Legs,MAPLE,550,425,22,5,30,554,"CONCEPT exterior, not cut list"
P034,Leg 22 segment 02,Legs,WALNUT,550,455,22,5,5,554,"CONCEPT exterior, not cut list"
P035,Leg 22 segment 10,Legs,MAPLE,555,420,22,20,5,554,"CONCEPT exterior, not cut list"
P036,Leg 22 segment 11,Legs,MAPLE,555,425,22,20,30,554,"CONCEPT exterior, not cut list"
P037,Leg 22 segment 12,Legs,MAPLE,555,455,22,20,5,554,"CONCEPT exterior, not cut list"
P038,Leg 22 segment 20,Legs,WALNUT,575,420,22,5,5,554,"CONCEPT exterior, not cut list"
P039,Leg 22 segment 21,Legs,MAPLE,575,425,22,5,30,554,"CONCEPT exterior, not cut list"
P040,Leg 22 segment 22,Legs,WALNUT,575,455,22,5,5,554,"CONCEPT exterior, not cut list"
P041,Lower front/back rail,Lower,WALNUT,50,20,116,500,40,24,"CONCEPT exterior, not cut list"
P042,Lower front/back rail,Lower,WALNUT,50,420,116,500,40,24,"CONCEPT exterior, not cut list"
P043,Lower side rail,Lower,WALNUT,20,60,116,30,360,24,"CONCEPT exterior, not cut list"
P044,Lower side rail,Lower,WALNUT,550,60,116,30,360,24,"CONCEPT exterior, not cut list"
P045,Lower panel border,Lower,MAPLE,51,61,122,498,8,18,"CONCEPT exterior, not cut list"
P046,Lower panel border,Lower,MAPLE,51,411,122,498,8,18,"CONCEPT exterior, not cut list"
P047,Lower panel border,Lower,MAPLE,51,69,122,8,342,18,"CONCEPT exterior, not cut list"
P048,Lower panel border,Lower,MAPLE,541,69,122,8,342,18,"CONCEPT exterior, not cut list"
P049,Lower panel border,Lower,WALNUT,59,69,122,482,4,18,"CONCEPT exterior, not cut list"
P050,Lower panel border,Lower,WALNUT,59,407,122,482,4,18,"CONCEPT exterior, not cut list"
P051,Lower panel border,Lower,WALNUT,59,73,122,4,334,18,"CONCEPT exterior, not cut list"
P052,Lower panel border,Lower,WALNUT,537,73,122,4,334,18,"CONCEPT exterior, not cut list"
P053,Lower panel centre line,Lower,WALNUT,293.0,73,122,14,334,18,"CONCEPT exterior, not cut list"
P054,Lower panel maple field,Lower,MAPLE,63,73,122,230.0,334,18,"CONCEPT exterior, not cut list"
P055,Lower panel maple field,Lower,MAPLE,307.0,73,122,230.0,334,18,"CONCEPT exterior, not cut list"
P056,Lower side parallel bar,Side lines,WALNUT,29.0,60,176,12,360,10,"CONCEPT exterior, not cut list"
P057,Lower side parallel bar,Side lines,WALNUT,29.0,60,208,12,360,10,"CONCEPT exterior, not cut list"
P058,Lower side parallel bar,Side lines,WALNUT,559.0,60,176,12,360,10,"CONCEPT exterior, not cut list"
P059,Lower side parallel bar,Side lines,WALNUT,559.0,60,208,12,360,10,"CONCEPT exterior, not cut list"
P060,Middle front/back rail,Middle,WALNUT,50,20,326,500,40,24,"CONCEPT exterior, not cut list"
P061,Middle front/back rail,Middle,WALNUT,50,420,326,500,40,24,"CONCEPT exterior, not cut list"
P062,Middle side rail,Middle,WALNUT,20,60,326,30,360,24,"CONCEPT exterior, not cut list"
P063,Middle side rail,Middle,WALNUT,550,60,326,30,360,24,"CONCEPT exterior, not cut list"
P064,Middle panel border,Middle,MAPLE,51,61,332,498,8,18,"CONCEPT exterior, not cut list"
P065,Middle panel border,Middle,MAPLE,51,411,332,498,8,18,"CONCEPT exterior, not cut list"
P066,Middle panel border,Middle,MAPLE,51,69,332,8,342,18,"CONCEPT exterior, not cut list"
P067,Middle panel border,Middle,MAPLE,541,69,332,8,342,18,"CONCEPT exterior, not cut list"
P068,Middle panel border,Middle,WALNUT,59,69,332,482,4,18,"CONCEPT exterior, not cut list"
P069,Middle panel border,Middle,WALNUT,59,407,332,482,4,18,"CONCEPT exterior, not cut list"
P070,Middle panel border,Middle,WALNUT,59,73,332,4,334,18,"CONCEPT exterior, not cut list"
P071,Middle panel border,Middle,WALNUT,537,73,332,4,334,18,"CONCEPT exterior, not cut list"
P072,Middle panel centre line,Middle,WALNUT,293.0,73,332,14,334,18,"CONCEPT exterior, not cut list"
P073,Middle panel maple field,Middle,MAPLE,63,73,332,230.0,334,18,"CONCEPT exterior, not cut list"
P074,Middle panel maple field,Middle,MAPLE,307.0,73,332,230.0,334,18,"CONCEPT exterior, not cut list"
P075,Middle side parallel bar,Side lines,WALNUT,29.0,60,386,12,360,10,"CONCEPT exterior, not cut list"
P076,Middle side parallel bar,Side lines,WALNUT,29.0,60,418,12,360,10,"CONCEPT exterior, not cut list"
P077,Middle side parallel bar,Side lines,WALNUT,559.0,60,386,12,360,10,"CONCEPT exterior, not cut list"
P078,Middle side parallel bar,Side lines,WALNUT,559.0,60,418,12,360,10,"CONCEPT exterior, not cut list"
P079,Foot side stretcher,Side lines,WALNUT,29.0,60,62,12,360,10,"CONCEPT exterior, not cut list"
P080,Foot side stretcher,Side lines,WALNUT,559.0,60,62,12,360,10,"CONCEPT exterior, not cut list"
P081,Top front/back apron,Top,WALNUT,50,20,548,500,16,28,"CONCEPT exterior, not cut list"
P082,Top front/back apron,Top,WALNUT,50,444,548,500,16,28,"CONCEPT exterior, not cut list"
P083,Top side apron,Top,WALNUT,20,60,548,16,360,28,"CONCEPT exterior, not cut list"
P084,Top side apron,Top,WALNUT,564,60,548,16,360,28,"CONCEPT exterior, not cut list"
P085,Top front/back border,Top,WALNUT,0,0,576,600,30,24,"CONCEPT exterior, not cut list"
P086,Top front/back border,Top,WALNUT,0,450,576,600,30,24,"CONCEPT exterior, not cut list"
P087,Top side border,Top,WALNUT,0,30,576,30,420,24,"CONCEPT exterior, not cut list"
P088,Top side border,Top,WALNUT,570,30,576,30,420,24,"CONCEPT exterior, not cut list"
P089,Top panel border,Top,MAPLE,31,31,576,538,8,24,"CONCEPT exterior, not cut list"
P090,Top panel border,Top,MAPLE,31,441,576,538,8,24,"CONCEPT exterior, not cut list"
P091,Top panel border,Top,MAPLE,31,39,576,8,402,24,"CONCEPT exterior, not cut list"
P092,Top panel border,Top,MAPLE,561,39,576,8,402,24,"CONCEPT exterior, not cut list"
P093,Top panel border,Top,WALNUT,39,39,576,522,4,24,"CONCEPT exterior, not cut list"
